job_title,company_name,location,summary,salary
Data Scientist,MORSE Corp,"Cambridge, MA",MORSE is searching for innovative candidates with expertise in data science and algorithm development in one or more of a variety of fields including visual…,Not Posted
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,Stanley Black & Decker,Anywhere,"Strong background in applying statistical techniques to customer, digital marketing, sentiment and social analytics.
R/Spark on Hadoop or Cassandra preferred.",Not Posted
Data Scientist FPQ&S Business Office and Analytics,Amgen,Anywhere,"Ability to successfully manage workload to timelines.
This role will apply expertise in data analytics and methodologies to enhance the way data is used to…",Not Posted
Vertica Data Scientist,Micro Focus,Anywhere,"Identifies site-specific parameters and constraints that impact the solution.
Establishes the validity of a solution and its components.",Not Posted
Field Application Data Scientist - Junior,Ontoforce NV,Anywhere,"You will put your scientific and technical knowledge to the test, solving real-world scientific problems in life-science areas and beyond.",Not Posted
Data Scientist,DeepHealth,Anywhere,"Advanced degree in a field related to data science.
Strong programming skills in python and libraries such as pandas.",Not Posted
MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,Anywhere,"Select and apply appropriate statistical and machine learning techniques to large-scale, high-dimensional data.
Up to 10% travel may be required.",Not Posted
Juñior Data Scientist,PIÑATA SCIENCES,Anywhere,"Experience with machine learning techniques.
This data driven individual will work to support our data science team to deliver scalable solutions that provide…",Not Posted
Data Scientist - Boston,Shift Technology,Anywhere,"R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…).
You can write quality production code.",Not Posted
Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Microsoft,Anywhere,"Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.",Not Posted
"Data Scientist, Junior",Booz Allen Hamilton,Anywhere,"Experience with machine learning, data mining, statistics, data visualization, or graph algorithms in academic or internship environment.",Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Data Scientist,Northrop Grumman,"San Diego, CA","Data analytics and visualization, statistics.
The candidate applying for this position should be able to work across disciplines and organizations; identifying…",Not Posted
Data Scientist,MORSE Corp,"Cambridge, MA","Solid understanding of physics, linear algebra, statistics, algorithms, optimization, and/or machine learning methods.",Not Posted
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
Digital Health Data Scientist,Pfizer,Anywhere,"The Digital Health Data Scientist is a key member of the Digital Medicine team and partners closely with the scientific and clinical team members, applying…",Not Posted
Data Analytics Intern,MilliporeSigma,Anywhere,"The Operational Design Center is a capability within Global Clinical Operations, the engine that makes clinical trials happen at EMD Serono.",$20 - $25 an hour
"Data Scientist, Artist Promotion",Spotify,Anywhere,"Data visualization experience (Tableau), and understand how data visualization can be used as a powerful communication tool.
Coding skills (Python or R).",Not Posted
Data Scientist,Tessella,Anywhere,"Using data science, analytics and a variety of analytical, statistical or machine learning techniques to interpret client data, helping them to make better…",Not Posted
Healthcare Data Scientist,Huxley,Anywhere,"Experience integrating and analysing diverse data sets relevant to clinical research and real world health data.
Passion for healthcare and helping people.",Not Posted
Data Scientist,Decision Point Healthcare,Anywhere,Our clients can identify their sickest members before they get sick and connect these members with the health and social support services they need to manage…,Not Posted
"Search Data Scientist, Apple Music & Podcasts - Culver City",Apple,Anywhere,Dive deep into large-scale data to uncover trends and identify key insights that will drive Apple Services product and design strategy.,Not Posted
Imaging Data Scientist I,Children's Hospital of Philadelphia,Anywhere,"Preferred Experience: At least one (1) year of experience with progressively more complex data science, applied statistics, machine learning, or mathematical…",Not Posted
Content Data Scientist,Pacific Data Integrators,Anywhere,"Data scientist: 3 years (Preferred).
This is true data scientist who will be working on content efficiency modelling, taste personas, content acquisition,…",Not Posted
Data Scientist,The RepTrak Company,Anywhere,"As part of the Product Methodology team, you will be responsible for developing pseudo-real time solutions to deal with challenging real-world problems on big…",Not Posted
Data Scientist,Northrop Grumman,"San Diego, CA","Data analytics and visualization, statistics.
The candidate applying for this position should be able to work across disciplines and organizations; identifying…",Not Posted
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,Chen Lab @ Boston University,Anywhere,"Extensive background in either computational neuroscience, image analysis, computer vision, or machine learning is preferred.",Not Posted
Data Scientist/Economist,Burning Glass Technologies,Anywhere,"Manipulating, validating, and analyzing data using SQL, R, Python, and other analytical tools to develop insights about emerging trends in the labor market.",Not Posted
Data Scientist/Analytics Consultant,Deloitte,Anywhere,"Support all phases of analytic work product development, from the identification of key business questions, through data collection and ETL, from performing…",Not Posted
Data Scientist,GSK,Anywhere,"Operating at pace and agile decision-making – using evidence and applying judgement to balance pace, rigour and risk.",Not Posted
Wind Energy Data Scientist,Huxley,Anywhere,"As part of our analytics and engineering team, you will be working on projects such as: using SCADA data to model turbine behavior, delivering innovative…",Not Posted
Data Scientist FPQ&S Business Office and Analytics,Amgen,Anywhere,"Ability to successfully manage workload to timelines.
This role will apply expertise in data analytics and methodologies to enhance the way data is used to…",Not Posted
Visualization/Data Scientist,Vita Data Sciences,Anywhere,"May require a bachelor’s degree in a related area and 2-5 years of experience in the field or in a related area.
Oversees testing and develops fixes.",Not Posted
Data Scientist,John Hancock,Anywhere,"For creating dashboards and delivering insights using visualization tools.
Employer will also accept a Bachelor’s degree in any field with relevant coursework…",Not Posted
